Pts,count,sum,V
0-0,82044,65474,0.7980352006240554
0-15,28647,18235,0.6365413481341851
0-30,10729,4359,0.40628203933264984
0-40,4133,680,0.16452939753205903
15-0,51815,46210,0.8918266911126121
15-15,36281,28036,0.7727460654336981
15-30,19284,10816,0.5608794855839038
15-40,9802,2679,0.27331156906753723
30-0,33454,32050,0.9580319244335506
30-15,34528,30666,0.88814874884152
30-30,24153,17910,0.7415227921997267
30-40,14708,6625,0.450435137340223
40-0,22505,22276,0.9898244834481227
40-15,29579,28608,0.9671726562764124
40-30,25231,22719,0.9004399350005945
40-40,33663,24208,0.7191278258028102
AD-40,21107,18808,0.891078789027337
40-AD,12487,5358,0.42908624969968767
