Pts,count,sum,V
0-0,45906,30470.0,0.6637476582581797
0-15,19449,9481.0,0.4874800760964574
0-30,8604,2455.0,0.28533240353324035
0-40,3733,377.0,0.1009911599249933
15-0,25922,20686.0,0.7980094128539464
15-15,21760,14111.0,0.6484834558823529
15-30,14037,6035.0,0.4299351713329059
15-40,8109,1549.0,0.19102232087803675
30-0,15005,13600.0,0.9063645451516161
30-15,18696,15100.0,0.8076593923833976
30-30,15799,9916.0,0.6276346604215457
30-40,11304,3907.0,0.3456298655343241
40-0,8899,8651.0,0.9721317001910327
40-15,14202,13275.0,0.9347275031685678
40-30,14684,12319.0,0.8389403432307273
40-40,24237,15161.0,0.6255312126088213
AD-40,13791,11546.0,0.8372126749329273
40-AD,10445,3614.0,0.3460028721876496
