player,X,N,matches,count_winner,count_unforced_error,count_forced_error,count_return_error,count_ace_or_winner,count_double_fault
Novak Djokovic,0.016055922059321038,15422,541,3710,3649,3464,2505,1645,449
Carlos Alcaraz,0.008957566962195752,17273,207,4821,4546,2959,2769,1700,478
Jannik Sinner,0.0035646283595877144,18858,261,4522,5221,3561,3196,1884,474
Daniil Medvedev,0.006123917114716272,16516,266,3519,4076,3036,2502,2520,863
Stefanos Tsitsipas,0.005165647721070775,11278,184,2681,2923,1940,1929,1449,356
Alexander Zverev,0.002906701957251441,10585,182,2362,2877,1696,1600,1645,405
Andrey Rublev,0.018768414576019687,11499,172,2690,2791,2030,1514,2163,311
Casper Ruud,0.009234531492314613,10274,163,2710,2763,1721,1481,1288,311
Hubert Hurkacz,-0.0021307766515063914,21853,304,4656,5973,3176,4304,3352,392
Rafael Nadal,0.006696187108402493,4092,418,1126,1014,776,729,285,162
